Age,Months,State,Cumulative Incidence,"95% Confidence Interval, Lower","95% Confidence Interval, Upper",Survey Year
8,81,AZ,10.24783018,8.416824377,12.47214506,2016
8,82,AZ,10.56153927,8.700228669,12.81590701,2016
8,83,AZ,10.66610896,8.794798887,12.9303922,2016
8,84,AZ,10.87524835,8.984088114,13.1592138,2016
8,85,AZ,10.97981805,9.078805721,13.27355161,2016
8,86,AZ,10.97981805,9.078805721,13.27355161,2016
8,87,AZ,11.08438774,9.173571083,13.38784166,2016
8,88,AZ,11.08438774,9.173571083,13.38784166,2016
8,89,AZ,11.18895744,9.268383539,13.50208462,2016
8,90,AZ,11.39809683,9.458147165,13.73043182,2016
8,91,AZ,11.81637561,9.838212111,14.18658853,2016
8,92,AZ,11.92094531,9.933336947,14.30051911,2016
8,93,AZ,12.02551501,10.0285041,14.41440737,2016
8,94,AZ,12.2346544,10.21896322,14.64205908,2016
8,95,AZ,12.44379379,10.40958528,14.86954785,2016
8,96,AZ,12.54836348,10.50495615,14.98323238,2016
8,1,CO,0,0,0.473795503,2016
8,2,CO,0,0,0.473795503,2016
8,3,CO,0,0,0.473795503,2016
8,4,CO,0,0,0.473795503,2016
8,5,CO,0,0,0.473795503,2016
8,6,CO,0,0,0.473795503,2016
8,7,CO,0,0,0.473795503,2016
8,8,CO,0,0,0.473795503,2016
8,9,CO,0,0,0.473795503,2016
8,10,CO,0,0,0.473795503,2016
8,11,CO,0,0,0.473795503,2016
8,12,CO,0,0,0.473795503,2016
8,13,CO,0,0,0.473795503,2016
8,14,CO,0,0,0.473795503,2016
8,15,CO,0,0,0.473795503,2016
8,16,CO,0,0,0.473795503,2016
8,17,CO,0,0,0.473795503,2016
8,18,CO,0,0,0.473795503,2016
8,19,CO,0,0,0.473795503,2016
8,20,CO,0.123395854,0.00632938,0.698687552,2016
8,21,CO,0.246791708,0.067681797,0.899463264,2016
8,22,CO,0.246791708,0.067681797,0.899463264,2016
8,23,CO,0.246791708,0.067681797,0.899463264,2016
8,24,CO,0.616979269,0.26356455,1.443604848,2016
8,25,CO,0.740375123,0.339363341,1.614480836,2016
8,26,CO,0.987166831,0.500303943,1.946889792,2016
8,27,CO,1.110562685,0.584394572,2.109473941,2016
8,28,CO,1.233958539,0.670417619,2.270125674,2016
8,29,CO,1.480750247,0.847278334,2.586614516,2016
8,30,CO,1.850937808,1.122049991,3.051867196,2016
8,31,CO,2.22112537,1.405474286,3.508467238,2016
8,32,CO,2.22112537,1.405474286,3.508467238,2016
8,33,CO,2.714708786,1.793497989,4.107142651,2016
8,34,CO,2.83810464,1.891985117,4.255330303,2016
8,35,CO,3.208292201,2.190433977,4.69690578,2016
8,36,CO,3.455083909,2.391616489,4.989072825,2016
8,37,CO,3.455083909,2.391616489,4.989072825,2016
8,38,CO,3.578479763,2.492803348,5.134560745,2016
8,39,CO,3.578479763,2.492803348,5.134560745,2016
8,40,CO,3.701875617,2.594360955,5.279677917,2016
8,41,CO,4.072063179,2.901087421,5.712975789,2016
8,42,CO,4.195459033,3.003963504,5.856774484,2016
8,43,CO,4.318854886,3.107133961,6.000278807,2016
8,44,CO,4.44225074,3.210586647,6.1435009,2016
8,45,CO,4.565646594,3.314310231,6.286452094,2016
8,46,CO,4.689042448,3.418294127,6.429142978,2016
8,47,CO,4.812438302,3.52252842,6.571583464,2016
8,48,CO,4.935834156,3.627003812,6.713782851,2016
8,49,CO,4.935834156,3.627003812,6.713782851,2016
8,50,CO,5.05923001,3.731711569,6.855749873,2016
8,51,CO,5.182625864,3.836643474,6.997492747,2016
8,52,CO,5.182625864,3.836643474,6.997492747,2016
8,53,CO,5.182625864,3.836643474,6.997492747,2016
8,54,CO,5.306021718,3.941791785,7.139019215,2016
8,55,CO,5.429417572,4.047149197,7.280336582,2016
8,56,CO,5.429417572,4.047149197,7.280336582,2016
8,57,CO,5.552813425,4.152708809,7.421451749,2016
8,58,CO,5.676209279,4.258464093,7.562371244,2016
8,59,CO,5.799605133,4.364408866,7.703101249,2016
8,60,CO,5.799605133,4.364408866,7.703101249,2016
8,61,CO,5.923000987,4.470537267,7.843647628,2016
8,62,CO,5.923000987,4.470537267,7.843647628,2016
8,63,CO,6.169792695,4.683322966,8.124211486,2016
8,64,CO,6.293188549,4.789969947,8.264239284,2016
8,65,CO,6.293188549,4.789969947,8.264239284,2016
8,66,CO,6.293188549,4.789969947,8.264239284,2016
8,67,CO,6.416584403,4.896779883,8.404104128,2016
8,68,CO,6.416584403,4.896779883,8.404104128,2016
8,69,CO,6.539980257,5.003748208,8.543810581,2016
8,70,CO,6.539980257,5.003748208,8.543810581,2016
8,71,CO,6.910167818,5.325560952,8.962022175,2016
8,72,CO,7.033563672,5.433121202,9.101136704,2016
8,73,CO,7.033563672,5.433121202,9.101136704,2016
8,74,CO,7.033563672,5.433121202,9.101136704,2016
8,75,CO,7.033563672,5.433121202,9.101136704,2016
8,76,CO,7.156959526,5.540819921,9.240112764,2016
8,77,CO,7.28035538,5.648653626,9.378953837,2016
8,78,CO,7.28035538,5.648653626,9.378953837,2016
8,79,CO,7.28035538,5.648653626,9.378953837,2016
8,80,CO,7.403751234,5.75661898,9.517663263,2016
8,81,CO,7.650542942,5.972931948,9.794699853,2016
8,82,CO,7.89733465,6.189734706,10.07124665,2016
8,83,CO,7.89733465,6.189734706,10.07124665,2016
8,84,CO,7.89733465,6.189734706,10.07124665,2016
8,85,CO,7.89733465,6.189734706,10.07124665,2016
8,86,CO,8.020730503,6.298312728,10.20934341,2016
